apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
1-crazy.chicken.hen.pcap,1073,559946,25,1,0,875,197,537,173748,542,387300,2.23,60,489.0,323.55,714.58,0.0,5652,2948,0.99,0.00,0.00,0.45,0.05,177.23,41.61,0.56,0.01,575.22,0.01,1
1-cutegirls.hyecrook.com.pcap,952,372580,41,17,0,717,234,508,115967,460,258375,2.23,60.0,153.0,228.28,561.68,0.0,2852,2852,1.1,0.00,0.00,0.42,0.04,96.12,31.94,0.42,0.0,379.78,0.0,1
1-de.paterino.warcraft.quiz.pcap,11,3499,2,0,0,9,2,4,1161,9,3146,2.71,404.0,381,290.25,349.56,0.0,404,404,0.44,2.79,2.79,0.25,0.5,0.25,0.5,1.5,0.5,476.5,0.5,1
1-dln.petaculs.amigos.pcap,4,908,2,0,0,2,2,3,868,3,848,0.98,404,404,289.33,282.67,0.0,404,404,1.0,0.00,0.00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
1-dof.do40.pcap,872,396876,21,0,0,708,163,451,146900,428,251172,1.71,61,201.5,325.72,586.85,0.0,4252,2948,1.05,0.00,0.03,0.37,0.03,158.34,2.12,0.38,0.01,299.5,0.01,1
1-dof.do50.pcap,875,370395,28,1,0,741,134,456,133739,421,237464,1.78,60.0,154,293.29,564.05,0.0,7052,2852,1.08,0.03,0.00,0.43,0.05,162.74,17.55,0.44,0.01,377.36,0.01,1
1-dof.do84.pcap,882,374020,26,1,0,714,168,443,147524,441,227304,1.54,60,90,333.01,515.43,0.0,5652,2948,1.0,0.00,0.00,0.41,0.08,180.98,59.82,0.44,0.01,333.55,0.01,1
1-dof.do84.pcap,168,66459,8,0,0,87,249,90,21811,77,44543,2.04,63.0,218,242.34,578.48,0.0,1341,2852,1.17,0.00,0.10,0.4,0.04,71.35,1.58,0.29,0.01,300.71,0.01,1
1-elp.creb.christmasfunfactory.pcap,881,357619,30,7,0,746,135,463,127995,420,230432,1.8,60,149.0,276.45,548.65,0.0,4252,2852,1.1,0.02,0.00,0.46,0.01,167.23,0.01,0.46,0.01,372.1,0.01,1
1-emr.auroraboreal.pcap,16488,1956838,2,1855,0,16486,2,8438,1553253,8052,404393,0.26,60.0,52.0,184.08,50.22,0.01,468,404,1.05,0.04,0.00,0.24,0.5,86.35,0.5,0.26,0.5,12.44,0.5,1
