apkNum,totalPkts,totalPktSize,totalBytesIn,medPktsIn,medPktsOut,avgPktsIn,avgPktSize,maxOutPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgSizepktFlowTCPOut,Result
1-whu.iss.srics.android,85,17893,8191,52.0,52.0,186.16,0.0,1452,1.02,0.0,0.2,0.25,0.41,183.3,1
0-com.companyname.Plaguinator,16,2164,842,126.5,110.0,140.33,0.01,433,0.6,0.0,0.02,45.22,1.0,117.14,0
0-com.KidDress.trascodroid,297,197808,23653,52.0,1470.0,180.56,0.0,1470,0.79,0.0,0.0,0.06,0.94,1124.53,0
0-net.andromo.dev260045.app469875,1033,613775,83742,52.0,1278.0,177.04,0.0,4306,0.84,0.0,0.0,1.1,0.75,922.42,0
0-com.app.p1476FJ,254,166373,15945,92.0,1540.0,180.17,0.02,1504,1.98,0.05,0.0,0.24,1.09,674.63,0
1-com.sparklightapps.call.tracker,600,215625,68691,60.0,149.0,212.67,0.0,2852,1.15,0.0,0.02,6.02,0.33,270.51,1
1-com.appsministry.litres.book120213,14136,1695992,1347484,60.0,52.0,187.25,0.01,468,1.04,0.04,0.0,0.5,0.27,12.99,1
0-com.dearead.pss.fr,12485,10894239,352735,60.0,1470.0,68.35,0.0,1470,0.7,0.02,0.0,0.02,0.97,1417.94,0
0-com.shah_ilyas.battery,480,302874,127250,60.0,119.0,614.73,0.0,5979,0.76,0.05,0.0,10.78,1.04,649.06,0
0-com.narvii.amino.x91,436,116628,38094,52.0,77.5,164.2,0.0,1470,1.14,0.02,0.0,0.03,0.32,224.82,0
